tconst	primaryTitle	titleType	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	combined_features
tt0135141	Kidnapping	movie	Apagogi	0	1964	\N	83	Crime	movie Kidnapping Apagogi 0 1964 \N 83 Crime
tt0135142	Out of Six Two Remain	movie	Apo ex meiname dyo	0	1953	\N	73	Drama,War	movie Out of Six Two Remain Apo ex meiname dyo 0 1953 \N 73 Drama,War
tt0135145	Experts on the Football Field	movie	Oi assoi tou gipedou	0	1956	\N	92	Comedy,Drama,Sport	movie Experts on the Football Field Oi assoi tou gipedou 0 1956 \N 92 Comedy,Drama,Sport
tt0135146	Athens at Midnight	movie	Athina, ora 12	0	1964	\N	93	Documentary	movie Athens at Midnight Athina, ora 12 0 1964 \N 93 Documentary
tt0135147	The Father Is Training	movie	O babas ekpaidevetai	0	1953	\N	78	Comedy	movie The Father Is Training O babas ekpaidevetai 0 1953 \N 78 Comedy
tt0135149	La Bambola	movie	La Bambola	0	1991	\N	88	Drama	movie La Bambola La Bambola 0 1991 \N 88 Drama
tt0135150	Uncle Giannis, the Potter	movie	Barba Giannis, o kanatas	0	1957	\N	73	Comedy,Romance	movie Uncle Giannis, the Potter Barba Giannis, o kanatas 0 1957 \N 73 Comedy,Romance
tt0135151	Barbeque Chicken Movie	movie	Barbeque Chicken Movie	0	1990	\N	\N	\N	movie Barbeque Chicken Movie Barbeque Chicken Movie 0 1990 \N \N \N
tt0135155	Bednaya Sasha	movie	Bednaya Sasha	0	1997	\N	95	Adventure,Comedy,Family	movie Bednaya Sasha Bednaya Sasha 0 1997 \N 95 Adventure,Comedy,Family
tt0135157	Kisses on the Forehead	movie	Besos en la frente	0	1996	\N	95	Drama	movie Kisses on the Forehead Besos en la frente 0 1996 \N 95 Drama
tt0135160	The Betrayal	movie	The Betrayal	0	1948	\N	183	Drama	movie The Betrayal The Betrayal 0 1948 \N 183 Drama
tt0135161	Bhai	movie	Bhai	0	1997	\N	147	Action,Drama	movie Bhai Bhai 0 1997 \N 147 Action,Drama
tt0135163	Birthright	movie	Birthright	0	1938	\N	74	Drama	movie Birthright Birthright 0 1938 \N 74 Drama
tt0135164	Black Light	movie	Black Light	0	1998	\N	90	Crime,Mystery,Romance	movie Black Light Black Light 0 1998 \N 90 Crime,Mystery,Romance
tt0135165	Bug Buster	movie	Bug Buster	0	1998	\N	93	Comedy,Horror,Sci-Fi	movie Bug Buster Bug Buster 0 1998 \N 93 Comedy,Horror,Sci-Fi
tt0135168	Boy Friend	movie	Boy Friend	0	1961	\N	137	Drama,Romance	movie Boy Friend Boy Friend 0 1961 \N 137 Drama,Romance
